년도	타석	홈런	삼진	볼넷	삼진비율	볼넷비율	타율	출루율	타점	예상장타율	가중출루율	예상출루율	헛스윙비율	스윙비율
258	 Rojas, Josh	2022	510	9	98	55	19.2	10.8	.269	.740	56	.361	.326	.324	22.2	41.0
259	 Cruz Jr., Nelson	2022	507	10	119	49	23.5	9.7	.234	.650	64	.399	.292	.323	32.0	50.8
260	 Rojas, Miguel	2022	507	6	61	26	12.0	5.1	.236	.606	36	.347	.268	.310	15.5	47.9
261	 Ozuna, Marcell	2022	507	23	122	31	24.1	6.1	.226	.687	56	.475	.298	.300	28.7	49.4
262	 Aguilar, Jesús	2022	507	16	119	28	23.5	5.5	.235	.660	51	.393	.288	.288	27.0	49.5
263	 Santana, Carlos	2022	506	19	88	71	17.4	14.0	.202	.692	60	.438	.308	.361	21.3	42.6
264	 Marte, Starling	2022	505	16	97	26	19.2	5.1	.292	.815	63	.428	.355	.332	24.0	49.8
265	 Semien, Marcus	2021	724	45	146	66	20.2	9.1	.265	.872	102	.459	.368	.320	21.5	45.1
266	 Merrifield, Whit	2021	720	10	103	40	14.3	5.6	.277	.712	74	.383	.306	.306	18.1	50.0
267	 Guerrero Jr., Vladimir	2021	698	48	110	86	15.8	12.3	.311	1.002	111	.597	.419	.402	27.8	47.3
268	 Freeman, Freddie	2021	695	31	107	85	15.4	12.2	.300	.896	83	.583	.379	.410	21.0	51.2
269	 Haniger, Mitch	2021	691	39	169	54	24.5	7.8	.253	.803	100	.492	.340	.325	29.8	46.6
270	 Edman, Tommy	2021	691	11	95	38	13.7	5.5	.262	.695	56	.401	.301	.320	14.9	47.4
271	 Bichette, Bo	2021	690	29	137	40	19.9	5.8	.298	.827	102	.490	.354	.337	22.3	57.8
272	 Crawford, J.P.	2021	687	9	114	58	16.6	8.4	.273	.714	54	.339	.314	.325	15.5	44.2
273	 Albies, Ozzie	2021	686	30	128	47	18.7	6.9	.259	.798	106	.461	.336	.309	24.9	56.8
274	 Goldschmidt, Paul	2021	679	31	136	67	20.0	9.9	.294	.879	99	.575	.373	.366	24.9	44.2
275	 LeMahieu, DJ	2021	679	10	94	73	13.8	10.8	.268	.711	57	.397	.315	.366	14.4	41.4
276	 Altuve, Jose	2021	678	31	91	66	13.4	9.7	.278	.839	83	.421	.357	.339	15.9	47.4
277	 Kiner-Falefa, Isiah	2021	677	8	90	28	13.3	4.1	.271	.669	53	.349	.293	.309	14.5	46.5
278	 Mullins II, Cedric	2021	675	30	125	59	18.5	8.7	.291	.878	59	.447	.372	.344	20.4	46.3
279	 Schoop, Jonathan	2021	674	22	133	37	19.7	5.5	.278	.755	84	.404	.324	.305	24.7	52.5
280	 Olson, Matt	2021	673	39	113	88	16.8	13.1	.271	.911	111	.507	.379	.374	23.0	47.0
281	 Grossman, Robbie	2021	671	23	155	98	23.1	14.6	.239	.772	67	.399	.337	.355	21.6	38.4
282	 Seager, Kyle	2021	670	35	161	59	24.0	8.8	.212	.723	101	.452	.308	.294	29.6	49.6
283	 Perez, Salvador	2021	665	48	170	28	25.6	4.2	.273	.860	121	.562	.359	.318	33.7	58.9
284	 Fletcher, David	2021	665	2	60	31	9.0	4.7	.262	.621	47	.320	.273	.307	9.5	46.5
285	 Devers, Rafael	2021	664	38	143	62	21.5	9.3	.279	.890	113	.567	.373	.366	27.7	53.6
286	 Riley, Austin	2021	662	33	168	52	25.4	7.9	.303	.898	107	.511	.379	.348	28.3	50.2
287	 Santana, Carlos	2021	659	19	102	86	15.5	13.1	.214	.661	69	.421	.294	.345	22.2	43.4
288	 Abreu, José	2021	659	30	143	61	21.7	9.3	.261	.832	117	.457	.354	.347	27.7	48.4
289	 Soto, Juan	2021	654	29	93	145	14.2	22.2	.313	.999	95	.545	.420	.463	20.0	35.0
290	 Arenado, Nolan	2021	653	34	96	50	14.7	7.7	.255	.806	105	.420	.336	.308	18.5	46.8
291	 Swanson, Dansby	2021	653	27	167	52	25.6	8.0	.248	.760	88	.455	.322	.316	30.4	48.1
292	 France, Ty	2021	650	18	106	46	16.3	7.1	.291	.813	73	.435	.353	.353	19.1	50.3
293	 Turner, Trea	2021	646	28	110	41	17.0	6.3	.328	.911	77	.485	.386	.355	23.0	49.2
294	 Reynolds, Bryan	2021	646	24	119	75	18.4	11.6	.302	.912	90	.523	.385	.384	23.9	48.9
295	 Polanco, Jorge	2021	644	33	118	45	18.3	7.0	.269	.826	98	.488	.349	.323	19.7	49.5
296	 Cronenworth, Jake	2021	643	21	90	55	14.0	8.6	.266	.800	71	.443	.341	.351	13.7	43.2
297	 Lowe, Nathaniel	2021	642	18	162	80	25.2	12.5	.264	.772	72	.401	.337	.333	23.5	44.7
298	 Machado, Manny	2021	640	28	102	63	15.9	9.8	.278	.836	106	.526	.350	.363	23.0	48.0
299	 Correa, Carlos	2021	640	26	116	75	18.1	11.7	.279	.851	92	.482	.364	.380	20.9	42.1
300	 Frazier, Adam	2021	639	5	69	48	10.8	7.5	.305	.779	43	.376	.341	.353	12.4	47.6
301	 Ohtani, Shohei	2021	639	46	189	96	29.6	15.0	.257	.964	100	.612	.393	.382	35.0	45.8
302	 Straw, Myles	2021	638	4	121	67	19.0	10.5	.271	.697	48	.333	.311	.336	13.5	40.4
303	 Hernández, César	2021	637	21	135	59	21.2	9.3	.232	.694	62	.386	.302	.319	22.0	47.1
304	 Alonso, Pete	2021	637	37	127	60	19.9	9.4	.262	.863	94	.542	.363	.352	24.9	49.3
305	 Ramírez, José	2021	636	36	87	72	13.7	11.3	.266	.893	103	.508	.372	.373	14.9	43.0
306	 Martinez, J.D.	2021	634	28	150	55	23.7	8.7	.286	.867	99	.533	.364	.352	29.2	54.2
307	 Judge, Aaron	2021	633	39	158	75	25.0	11.8	.287	.917	98	.594	.387	.394	29.1	42.5
